state,date,PRECTOTCORR,T2M,RH2M
Abia,20200101,0.0,24.65,67.87
Abia,20200102,0.0,21.29,63.89
Abia,20200103,0.0,20.78,64.92
Abia,20200104,0.0,21.71,67.61
Abia,20200105,0.0,24.06,73.01
Abia,20200106,0.0,25.81,68.3
Abia,20200107,0.0,25.75,67.33
Abia,20200108,0.0,24.97,71.4
Abia,20200109,0.0,24.83,73.62
Abia,20200110,0.05,24.96,85.91
Abia,20200111,0.03,26.21,86.07
Abia,20200112,0.01,26.75,82.12
Abia,20200113,0.01,27.43,80.92
Abia,20200114,0.01,27.6,82.85
Abia,20200115,0.02,28.01,80.45
Abia,20200116,0.0,25.17,65.16
Abia,20200117,0.0,24.04,62.57
Abia,20200118,0.0,22.6,71.68
Abia,20200119,0.0,24.54,63.46
Abia,20200120,0.0,26.11,68.78
Abia,20200121,0.0,27.46,78.46
Abia,20200122,0.0,26.14,66.5
Abia,20200123,0.0,24.34,69.38
Abia,20200124,0.0,22.55,66.12
Abia,20200125,0.0,22.36,59.13
Abia,20200126,0.0,23.27,61.17
Abia,20200127,0.0,23.61,59.42
Abia,20200128,0.0,24.68,59.96
Abia,20200129,0.0,24.73,58.65
Abia,20200130,0.0,24.26,59.26
Abia,20200131,0.0,24.2,61.06
Abia,20200201,0.0,24.15,60.39
Abia,20200202,0.0,24.73,61.04
Abia,20200203,0.0,24.8,75.39
Abia,20200204,0.0,26.72,80.61
Abia,20200205,0.0,26.19,67.76
Abia,20200206,0.0,26.68,70.04
Abia,20200207,0.0,26.08,62.62
Abia,20200208,0.0,25.73,72.23
Abia,20200209,0.0,26.98,82.0
Abia,20200210,0.0,26.08,76.09
Abia,20200211,0.0,25.5,61.16
Abia,20200212,0.0,24.35,66.72
Abia,20200213,0.0,24.8,59.12
Abia,20200214,0.0,25.64,62.43
Abia,20200215,0.0,25.73,75.52
Abia,20200216,0.0,26.07,84.16
Abia,20200217,0.0,26.7,85.43
Abia,20200218,0.0,27.0,85.35
Abia,20200219,0.0,27.16,81.24
Abia,20200220,0.0,27.46,78.79
Abia,20200221,0.0,26.31,79.34
Abia,20200222,0.0,27.26,79.23
Abia,20200223,0.0,26.76,82.7
Abia,20200224,0.0,26.92,68.99
Abia,20200225,0.59,25.56,68.49
Abia,20200226,0.02,26.1,74.63
Abia,20200227,2.02,27.2,85.56
Abia,20200228,0.48,28.25,79.71
Abia,20200229,0.02,27.96,81.82
Abia,20200301,0.49,27.49,86.91
Abia,20200302,2.31,27.51,87.27
Abia,20200303,1.52,26.82,88.65
Abia,20200304,1.05,27.23,84.77
Abia,20200305,0.86,27.56,86.16
Abia,20200306,1.88,27.37,88.07
Abia,20200307,1.68,26.9,77.38
Abia,20200308,0.77,28.09,80.89
Abia,20200309,4.55,28.29,84.19
Abia,20200310,17.91,27.99,85.17
Abia,20200311,5.12,27.53,82.92
Abia,20200312,9.27,27.37,84.64
Abia,20200313,2.33,27.77,83.08
Abia,20200314,0.79,27.11,69.05
Abia,20200315,1.04,26.19,70.67
Abia,20200316,9.23,27.6,85.42
Abia,20200317,4.16,27.96,84.22
Abia,20200318,15.01,27.61,86.95
Abia,20200319,11.33,27.39,88.27
Abia,20200320,23.64,26.1,86.19
Abia,20200321,11.06,27.13,84.26
Abia,20200322,2.9,26.76,88.47
Abia,20200323,7.07,26.78,88.02
Abia,20200324,23.89,25.76,93.21
Abia,20200325,1.69,26.02,89.46
Abia,20200326,0.64,26.8,82.9
Abia,20200327,0.88,26.42,87.59
Abia,20200328,1.71,27.04,86.93
Abia,20200329,3.94,26.78,90.36
Abia,20200330,1.72,27.17,89.78
Abia,20200331,3.79,27.25,88.43
Abia,20200401,3.61,26.12,90.79
Abia,20200402,1.01,27.25,85.34
Abia,20200403,8.89,26.89,91.04
Abia,20200404,1.81,26.47,89.78
Abia,20200405,0.31,27.95,81.88
Abia,20200406,5.56,27.18,87.79
Abia,20200407,2.32,27.47,86.69
Abia,20200408,6.19,27.06,87.48
Abia,20200409,5.73,27.11,85.45
Abia,20200410,7.91,24.56,82.76
Abia,20200411,0.06,26.2,76.7
Abia,20200412,0.01,26.97,82.53
Abia,20200413,0.16,27.69,84.98
Abia,20200414,0.17,27.87,84.4
Abia,20200415,0.21,26.89,86.94
Abia,20200416,0.54,28.05,85.66
Abia,20200417,0.12,27.17,86.68
Abia,20200418,0.3,26.48,87.62
Abia,20200419,0.35,26.22,88.24
Abia,20200420,0.17,26.0,87.28
Abia,20200421,0.28,26.98,82.37
Abia,20200422,0.71,26.47,89.26
Abia,20200423,0.73,26.7,89.86
Abia,20200424,0.53,26.79,88.71
Abia,20200425,1.34,26.75,90.04
Abia,20200426,30.2,25.93,89.11
Abia,20200427,18.99,26.15,89.15
Abia,20200428,4.75,27.09,86.07
Abia,20200429,8.38,27.28,87.09
Abia,20200430,10.14,27.17,89.24
Abia,20200501,2.56,26.94,88.61
